title,region,edition,xboxid,pubid,gameid,discid,regionid
Spider-Man 2,Europe,Original,AV04305E,AV,043,05,E
,,,,AV,044,,
Tony Hawk's Underground,USA,Platinum Hits,AV04501K,AV,045,01,K
Tony Hawk's Underground,Europe,"Original, Classics",AV04502E,AV,045,02,E
,,,,AV,046,,
,,,,AV,047,,
Cabela's Deer Hunt: 2004 Season,USA,Original,AV04801A,AV,048,01,A
,,,,AV,049,,
,,,,AV,050,,
,,,,AV,051,,
,,,,AV,052,,
Ultimate Spider-Man,USA,Original,AV05301W,AV,053,01,W
Ultimate Spider-Man,Europe,Original,AV05302E,AV,053,02,E
Ultimate Spider-Man,Europe,Original,AV05303E,AV,053,03,E
Tenchu: Return from Darkness,Europe,Original,AV05401E,AV,054,01,E
Shrek 2,France,Original,AV05503E,AV,055,03,E
Shrek 2,Germany,Classics,AV05504E,AV,055,04,E
Shrek 2,Italy,Original,AV05505E,AV,055,05,E
Shrek 2,Japan,World Collection,AV05507K,AV,055,07,K
Shrek 2,Europe,Original,AV05508E,AV,055,08,E
DreamWorks Shark Tale,Europe,Original,AV05601W,AV,056,01,W
DreamWorks Shark Tale,Europe,Original,AV05602E,AV,056,02,E
DreamWorks Shark Tale,Italy,Original,AV05603E,AV,056,03,E
,,,,AV,057,,
Rapala Pro Fishing,Europe,Original,AV05801W,AV,058,01,W
DreamWorks Madagascar,Europe,Original,AV05902E,AV,059,02,E
DreamWorks Madagascar,Italy,Original,AV05903E,AV,059,03,E
DreamWorks Madagascar,Europe,Original,AV05905L,AV,059,05,L
Tony Hawk's Underground 2,Europe,Original,AV06001W,AV,060,01,W
American Chopper,"USA, Europe",Original,AV06101W,AV,061,01,W
Cabela's Big Game Hunter 2005 Adventures,"USA, Europe",Original,AV06201W,AV,062,01,W
Cabela's Deer Hunt: 2005 Season,USA,Original,AV06301W,AV,063,01,W
Bicycle Casino Includes: Texas Hold'em,"USA, Europe",Original,AV06401W,AV,064,01,W
Monster Garage,USA,Original,AV06501A,AV,065,01,A
Greg Hastings' Tournament Paintball,"USA, Europe",Original,AV06601W,AV,066,01,W
,,,,AV,067,,
,,,,AV,068,,
True Crime: New York City,USA,Original,AV06901K,AV,069,01,K
True Crime: New York City,Europe,Collector's Edition,AV06902E,AV,069,02,E
True Crime: New York City,Europe,"Original, Collector's Edition",AV06903E,AV,069,03,E
True Crime: New York City,Germany,Original,AV06904E,AV,069,04,E
X-Men: The Official Game,Europe,Original,AV07001W,AV,070,01,W
X-Men: The Official Game,Europe,Original,AV07002E,AV,070,02,E
X-Men Legends II: Rise of Apocalypse,Europe,Original,AV07101W,AV,071,01,W
X-Men Legends II: Rise of Apocalypse,Europe,Original,AV07102E,AV,071,02,E
X-Men Legends II: Rise of Apocalypse,Europe,Original,AV07103E,AV,071,03,E
DreamWorks Shrek: SuperSlam,Europe,Original,AV07201W,AV,072,01,W
DreamWorks Shrek: SuperSlam,Europe,Original,AV07202E,AV,072,02,E
Tony Hawk's American Wasteland,Europe,Original,AV07301W,AV,073,01,W
,,,,AV,074,,
Gun,"USA, Europe",Original,AV07501W,AV,075,01,W
Gun,Germany,Original,AV07502E,AV,075,02,E
,,,,AV,076,,
Cabela's Outdoor Adventures,USA,Original,AV07701W,AV,077,01,W
Doom 3: Resurrection of Evil,"USA, Europe",Original,AV07802W,AV,078,02,W
American Chopper 2: Full Throttle,USA,Original,AV07901W,AV,079,01,W
SeaWorld Adventure Parks: Shamu's Deep Sea Adventures,Europe,Original,AV08001W,AV,080,01,W
Call of Duty 2: Big Red One,"USA, Europe",Original,AV08101W,AV,081,01,W
Call of Duty 2: Big Red One,USA,Collector's Edition: Platinum Hits,AV08104W,AV,081,04,W
Call of Duty 2: Big Red One,Europe,Original,AV08105E,AV,081,05,E
Call of Duty 2: Big Red One,Germany,Original,AV08106E,AV,081,06,E
Cabela's Dangerous Hunts 2,USA,Original,AV08201W,AV,082,01,W
,,,,AV,083,,
World Series of Poker,USA,Original,AV08402W,AV,084,02,W
TY the Tasmanian Tiger: Night of the Quinkan,"USA, Australia",Original,AV08501W,AV,085,01,W
,,,,AV,086,,
Greg Hastings' Tournament Paintball Max'd,USA,Original,AV08701W,AV,087,01,W
DreamWorks Over the Hedge,Europe,Original,AV08802E,AV,088,02,E
DreamWorks Over the Hedge,Europe,Original,AV08805W,AV,088,05,W
,,,,AV,089,,
,,,,AV,090,,
The Hustle: Detroit Streets,USA,Original,AV09101W,AV,091,01,W
Marvel: Ultimate Alliance,Europe,Original,AV09201W,AV,092,01,W
Call of Duty 3,"USA, Europe",Original,AV09304W,AV,093,04,W
Call of Duty 3,Europe,Original,AV09305E,AV,093,05,E
Call of Duty 3,Germany,Original,AV09306E,AV,093,06,E
Tony Hawk's Project 8,"USA, Europe",Original,AV09401W,AV,094,01,W
,,,,,,,
Guilty Gear Isuka,Japan,Original,AW00101J,AW,001,01,J
,,,,,,,
,,,,AY,001,,
Stubbs the Zombie in Rebel Without a Pulse,USA,Original,AY00201K,AY,002,01,K
Stubbs the Zombie in Rebel Without a Pulse,Europe,Original,AY00202E,AY,002,02,E
,,,,AY,003,,
Dreamfall: The Longest Journey,USA,Original,AY00401K,AY,004,01,K
,,,,,,,
Digimon Battle Chronicle,Japan,Original,BA00101J,BA,001,01,J
Digimon Rumble Arena 2,USA,Original,BA00102A,BA,001,02,A
Digimon Rumble Arena 2,Europe,Original,BA00103E,BA,001,03,E
Digimon World X,Japan,Original,BA00202J,BA,002,02,J
Digimon World 4,USA,Original,BA00203A,BA,002,03,A
,,,,,,,
Chase: Hollywood Stunt Driver,Europe,Original,BM00102E,BM,001,02,E
Chase: Hollywood Stunt Driver,USA,Original,BM00103A,BM,001,03,A
Reign of Fire,USA,Original,BM00201A,BM,002,01,A
Reign of Fire,Europe,Original,BM00202E,BM,002,02,E
Wallace & Gromit in Project Zoo,USA,Original,BM00301K,BM,003,01,K
Wallace & Gromit in Project Zoo,Europe,Original,BM00302E,BM,003,02,E
Wallace & Gromit in Project Zoo,UK,Original,BM00303E,BM,003,03,E
Carmen Sandiego: The Secret of the Stolen Drums,USA,Original,BM00601A,BM,006,01,A
Carmen Sandiego: The Secret of the Stolen Drums,Europe,Original,BM00602E,BM,006,02,E
,,,,,,,
Galaxy Angel,Japan,Original,BR00101J,BR,001,01,J
,,,,,,,
The Elder Scrolls III: Morrowind,USA,Original,BS00101A,BS,001,01,A
,,,,BS,002,,
